,Time Step,Velocity,Acceleration,Distance Traveled
0,1,300.0,-1.1338540349814998,0.0
1,2,298.8661459650185,-1.1252603059767776,299.4330729825046
2,3,297.74088565904174,-1.1167638833182107,597.7365887945386
3,4,296.62412177572355,-1.1083633021059252,894.9190925119124
4,5,295.5157584736176,-1.1000571249238202,1190.9890326365887
5,6,294.4157013486938,-1.0918439412227354,1485.9547625477403
6,7,293.32385740747105,-1.0837223667197167,1779.8245419258278
7,8,292.24013504075134,-1.0756910428129063,2072.6065381499347
8,9,291.1644439979384,-1.0677486360115873,2364.308827669286
9,10,290.09669536192683,-1.0598938373809423,2654.939397349213
10,11,289.03680152454587,-1.0521253620010858,2944.5061457924603
11,12,287.98467616254476,-1.0444419484399619,3233.016884636013
12,13,286.9402342141048,-1.0368423582396933,3520.4793398243296
13,14,285.9033918558651,-1.0293253754159957,3806.9011528593232
14,15,284.8740664804491,-1.0218898059702792,4092.289882027489
15,16,283.8521766744788,-1.0145344774140668,4376.653003604948
16,17,282.8376421970647,-1.0072582383053788,4659.997913040725
17,18,281.83038395875934,-1.0000599577967395,4942.331926118633
18,19,280.8303240009626,-0.9929385251944736,5223.662280098498
19,20,279.83738547576814,-0.9858928495289734,5503.996134836859
20,21,278.8514926262392,-0.9789218591356185,5783.340573887858
21,22,277.8725707671036,-0.9720245012460588,6061.702605584527
22,23,276.90054626585754,-0.9651997415895578,6339.089164101
23,24,275.93534652426797,-0.9584465640041204,6615.507110496063
24,25,274.97689996026384,-0.9517639700571301,6890.963233738334
25,26,274.0251359902067,-0.9451509786752286,7165.464251713575
26,27,273.0799850115315,-0.9386066257831859,7439.016812214435
27,28,272.14137838574834,-0.9321299639515053,7711.627493913064
28,29,271.2092484217968,-0.9257200620525294,7983.302807316848
29,30,270.2835283597443,-0.919376004924812,8254.04919570761
30,31,269.3641523548195,-0.913096893045522,8523.873036064884
31,32,268.451055461774,-0.9068818422106711,8792.78063997318
32,33,267.5441736195633,-0.9007299832229486,9060.77825451385
